DEBUG: General     , 1641825166203> LoggerManager.init                  > Initializing...
LOG  : General     , 1641825166244> cachedir set to "C:\Users\Vlad\Zomboid"
LOG  : General     , 1641825166259> 10-01-2022 15:32:46
LOG  : General     , 1641825166260> cachedir is "C:\Users\Vlad\Zomboid"
LOG  : General     , 1641825166261> LogFileDir is "C:\Users\Vlad\Zomboid\Logs"
LOG  : General     , 1641825166262> ===== System specs =====
LOG  : General     , 1641825166264> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1641825166266> Processor: Intel64 Family 6 Model 60 Stepping 3, GenuineIntel
LOG  : General     , 1641825166267> Processor cores: 4
LOG  : General     , 1641825166269> Available processors (cores): 4
LOG  : General     , 1641825166271> Memory free: 1710.0 MB
LOG  : General     , 1641825166272> Memory max: 2048.0 MB
LOG  : General     , 1641825166272> Memory  total available to JVM: 1800.0 MB
LOG  : General     , 1641825166279> C:\, Total: 110.72838 GB, Free: 36.62813 GB
LOG  : General     , 1641825166280> D:\, Total: 1863.0146 GB, Free: 274.23718 GB
LOG  : General     , 1641825166280> F:\, Total: 238.47363 GB, Free: 163.15274 GB
LOG  : General     , 1641825166484> Mobo = [Product=Z87-G45 GAMING (MS-7821)]
LOG  : General     , 1641825166628> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=3400,Name=Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz]
LOG  : General     , 1641825166786> Graphics = [AdapterRAM=4293918720,DriverVersion=27.21.14.5671,Name=NVIDIA GeForce GTX 970]
LOG  : General     , 1641825166940> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 f„rger]
LOG  : General     , 1641825167095> Sound = { [Manufacturer=Microsoft,Name=High Definition Audio Device], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=(Generic USB Audio),Name=USB Audio Device], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=Logitech,Name=Webcam 250], [Manufacturer=SteelSeries ApS,Name=SteelSeries Sonar Virtual Audio Device] }
LOG  : General     , 1641825167276> Memory RAM = { [Capacity=8589934592,Manufacturer=1315], [Capacity=8589934592,Manufacturer=1315] }
LOG  : General     , 1641825167276> ========================
LOG  : General     , 1641825167277> -- listing properties --
LOG  : General     , 1641825167277> java.specification.version=15
LOG  : General     , 1641825167278> sun.cpu.isalist=amd64
LOG  : General     , 1641825167278> sun.jnu.encoding=Cp1252
LOG  : General     , 1641825167278> java.class.path=.;istack-commons-runtime.jar;jassimp....
LOG  : General     , 1641825167279> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1641825167279> sun.arch.data.model=64
LOG  : General     , 1641825167280> user.variant=
LOG  : General     , 1641825167280> java.vendor.url=http://www.azulsystems.com/
LOG  : General     , 1641825167280> user.timezone=Europe/Stockholm
LOG  : General     , 1641825167281> zomboid.steam=1
LOG  : General     , 1641825167281> java.vm.specification.version=15
LOG  : General     , 1641825167281> os.name=Windows 10
LOG  : General     , 1641825167282> user.country=SE
LOG  : General     , 1641825167282> sun.boot.library.path=F:\Program\Steam\steamapps\common\Pro...
LOG  : General     , 1641825167282> zomboid.znetlog=1
LOG  : General     , 1641825167283> jdk.debug=release
LOG  : General     , 1641825167283> sun.cpu.endian=little
LOG  : General     , 1641825167284> user.home=C:\Users\Vlad
LOG  : General     , 1641825167284> user.language=sv
LOG  : General     , 1641825167284> java.specification.vendor=Oracle Corporation
LOG  : General     , 1641825167285> java.version.date=2020-10-20
LOG  : General     , 1641825167285> java.home=F:\Program\Steam\steamapps\common\Pro...
LOG  : General     , 1641825167285> file.separator=\
LOG  : General     , 1641825167285> line.separator=

LOG  : General     , 1641825167286> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1641825167286> java.specification.name=Java Platform API Specification
LOG  : General     , 1641825167286> java.awt.headless=true
LOG  : General     , 1641825167287> user.script=
LOG  : General     , 1641825167287> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1641825167288> java.runtime.version=15.0.1+9
LOG  : General     , 1641825167288> user.name=Vlad
LOG  : General     , 1641825167288> path.separator=;
LOG  : General     , 1641825167288> os.version=10.0
LOG  : General     , 1641825167289> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1641825167289> file.encoding=Cp1252
LOG  : General     , 1641825167289> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1641825167290> java.vendor.version=Zulu15.28+51-CA
LOG  : General     , 1641825167290> java.vendor.url.bug=http://www.azulsystems.com/support/
LOG  : General     , 1641825167290> java.io.tmpdir=C:\Users\Vlad\AppData\Local\Temp\
LOG  : General     , 1641825167291> java.version=15.0.1
LOG  : General     , 1641825167291> user.dir=F:\Program\Steam\steamapps\common\Pro...
LOG  : General     , 1641825167291> os.arch=amd64
LOG  : General     , 1641825167292> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1641825167293> sun.os.patch.level=
LOG  : General     , 1641825167293> java.library.path=win64/;.
LOG  : General     , 1641825167293> java.vm.info=mixed mode, sharing
LOG  : General     , 1641825167294> java.vendor=Azul Systems, Inc.
LOG  : General     , 1641825167294> java.vm.version=15.0.1+9
LOG  : General     , 1641825167294> sun.io.unicode.encoding=UnicodeLittle
LOG  : General     , 1641825167295> java.class.version=59.0
LOG  : General     , 1641825167295> -----
LOG  : General     , 1641825167296> versionNumber=41.65 demo=false
LOG  : General     , 1641825167297> svnRevision= date= time=
LOG  : General     , 1641825167636> LightingFPS set to 15
LOG  : General     , 1641825167638> [javafmodJNI] Init: Start
